Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Annual U.S. Retail Trade Sales - Total and E-commerce1: 1998-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Estimates are shown in millions of dollars and are based on data from the Annual Retail Trade Survey. Estimates have been adjusted using final results of the 2012 Economic Census.] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAICS Code,,2018,,2017r,,2016r,,2015r,,2014r,,2013r,,2012r,,2011r,,2010,,2009,,2008,,2007,,2006,,2005,,2004,,2003,,2002,,2001,,2000,,1999,,1998,
,Kind of Business ,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce,Total,E-commerce
,Total Retail Trade ………………………...……………………………………,"5,269,468","519,635","5,053,151","458,916","4,852,958","397,252","4,725,993","346,188","4,639,440","302,485","4,458,450","263,325","4,302,229","231,758","4,102,952","200,200","3,818,048","169,921","3,612,471","145,507","3,935,315","141,592","3,995,182","136,470","3,871,573","113,334","3,689,283","91,387","3,473,048","72,597","3,262,731","57,155","3,128,552","44,623","3,062,268","34,260","2,983,276","27,608","2,803,090","14,490","2,581,762","4,984"
441,Motor vehicle and parts dealers …………………………...………………………………,"1,191,321","35,348","1,172,367","32,106","1,140,614","30,739","1,094,112","30,145","1,020,851","27,678","959,294","26,235","886,494","23,644","812,938","20,713","742,913","18,053","671,772","15,137","785,865","17,407","910,139","21,558","899,997","18,838","888,307","16,093","866,372","13,113","841,588","10,265","818,811","7,059","815,579","5,271","796,210","4,090","764,204","1,704","688,415",382
442,Furniture and home furnishings stores …………………………...………………………………,"116,895","1,533","113,035","1,279","110,404","1,081","106,570",996,"99,718",793,"95,349",674,"91,542",502,"87,586",401,"85,205",328,"84,749",S,"98,720",S,"111,144",S,"112,795",367,"109,120",349,"103,757",330,"96,736",S,"94,438",S,"91,484",S,"91,170",S,"84,294",S,"77,412",S
443,Electronics and appliance stores …………………………...………………………………,"100,205","2,056","98,570","2,113","99,043","2,069","103,658","1,930","105,197","1,780","104,699","1,584","103,882",S,"101,978","1,427","99,589","1,217","97,899","1,066","108,384","1,168","110,341","1,171","110,091","1,011","106,122","1,129","100,013","1,118","92,850",NA,"91,208",NA,"88,493",NA,"90,422",NA,"87,363",NA,"82,731",NA
444,Building mat. and garden equip. and supplies dealers …………………………………..,"381,313","2,795","365,622","2,614","348,697","2,327","331,611","1,939","318,352",S,"301,797","1,331","281,533",D,"269,480",D,"260,566",S,"261,637",563,"301,833",673,"320,854",641,"334,130",512,"320,802",514,"295,274",446,"263,463",375,"248,539",284,"239,379",234,"228,994",152,"218,290",132,"202,423",25
445,Food and beverage stores …………………………...……………………………………...…………,"745,736","4,837","725,137","3,431","699,349","2,371","685,381","1,843","669,165","1,596","640,847","1,271","628,205","1,146","609,137",826,"580,530",677,"568,418",642,"569,276",658,"547,837",822,"525,232",692,"508,484",473,"490,380",391,"474,385",283,"464,856",185,"462,429",96,"444,764",70,"433,699",72,"416,525",10
446,Health and personal care stores …………………………...………………………………………,"347,454",744,"333,338",S,"327,153",D,"315,244",D,"299,263",D,"281,840",D,"274,000",461,"271,612",S,"260,435",S,"252,794",238,"246,573",202,"237,164",242,"223,336",256,"210,085",S,"199,290",S,"192,426",S,"179,983",S,"166,533",S,"155,234",S,"142,699",S,"129,583",S
447,Gasoline stations …………………………...……………………………………...…………,"503,925",S,"459,463",S,"422,792",D,"444,027",D,"538,790",D,"549,613",D,"555,419",D,"533,457",D,"448,349",S,"391,234",ZZ,"503,639",ZZ,"451,822",ZZ,"421,976",S,"378,923",S,"324,006",S,"275,187",S,"250,619",S,"251,383",S,"249,816",S,"212,524",S,"191,727",S
448,Clothing and clothing access. stores …………………………...………………………,"268,163","10,981","260,566","9,374","260,050","8,134","255,798","6,970","250,409","5,717","244,722","4,396","239,493","3,548","228,606","2,595","213,286","1,919","204,475","1,807","215,583","1,657","221,205","1,427","213,189","1,177","200,969","1,241","190,253","1,119","178,694",S,"172,304",S,"167,287",S,"167,674",S,"159,751",S,"149,151",12
451,"Sporting goods, hobby, musical instrument, and book stores ………………….","81,179","2,617","84,188","2,441","86,483","2,307","85,701","2,103","83,787","2,192","82,877","1,980","81,159","1,687","78,647","1,666","78,227","1,536","77,678","1,357","80,561","1,261","80,909","1,088","78,534",978,"75,228",757,"73,167",628,"70,359",NA,"69,212",NA,"68,583",NA,"67,592",NA,"64,072",NA,"60,441",NA
452,General merchandise stores …………………………...……………………………………...…………,"706,298",S,"687,123",S,"675,389",S,"674,889",255,"667,163",199,"651,874",147,"642,313",117,"624,766",S,"603,757",S,"588,918",S,"595,041",S,"578,582",S,"554,256",S,"528,385",S,"497,382",S,"468,771",S,"446,520",S,"427,468",S,"404,228",S,"380,179",S,"351,081",S
453,Miscellaneous store retailers …………………………...……………………………………...…………,"130,130",S,"124,538","4,014","121,572","3,660","119,350","3,341","115,878","2,945","112,412","2,557","110,018",S,"108,401",S,"104,234",S,"101,745","1,444","110,688","1,548","116,418","1,466","113,694","1,245","107,279","1,063","104,177",875,"101,913",669,"102,783",533,"103,087",426,"106,719",343,"104,218",232,"98,369",116
454,Nonstore retailers …………………………...……………………………………...…………,"696,849","453,584","629,204","400,279","561,412","343,372","509,652","295,888","470,867","257,107","433,126","222,422","408,171","196,035","376,344","169,445","340,957","143,481","311,152","122,800","319,152","116,498","308,767","107,573","284,343","88,179","255,579","69,413","228,977","54,262","206,359","43,042","189,279","34,664","180,563","26,653","180,453","21,663","151,797","11,707","133,904","4,029"
4541,   Electronic shopping and mail-order houses ……………………………………………...…………,"611,743","451,635","551,298","398,415","488,840","341,699","433,987","294,345","386,065","255,798","350,487","221,281","328,655","195,301","294,697","168,844","263,488","143,000","235,625","121,173","229,242","114,642","223,681","105,467","202,251","85,945","175,900","68,114","154,157","52,996","134,304","41,962","122,214","33,764","114,749","25,892","113,790","21,221","94,282","11,615","80,297","4,008"
D - Denotes an estimate withheld to avoid disclosing data of individual companies; data are included in higher-level totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA - Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate is less than 50%), or other concerns about the estimate's quality. Unpublished estimates derived from this table by subtraction are subject to these same limitations and should not be attributed to the U.S. Census Bureau. For a description of publication standards and the total quantity response rate, see https://www.census.gov/about/policies/quality/standards/standardf1.html.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZZ - Estimate is less than $500,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1E-commerce sales are sales of goods and services where the buyer places an order, or the price and terms of the sale are negotiated, over an Internet, mobile device (M-commerce), extranet, Electronic Data Interchange (EDI) network, electronic mail, or other comparable online system. Payment may or may not be made online.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRevised data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Sales estimates are shown in millions of dollars. Consequently, industry group estimates may not be additive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Estimated measures of sample variability can be found at https://www2.census.gov/programs-surveys/arts/tables/2018/reliability_tables.xls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Estimates are not adjusted for price changes. Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/programs-surveys/arts/technical-documentation/methodology.html.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,